ID,Date,Language,Text
1236109474156314624,2020-03-07 02:00:39,en,RT @EmericanJohnson: Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in on…
1236109470549315587,2020-03-07 02:00:38,en,"RT @TPE_connect: Coronavirus is ""not a drill"" and will require significant action, WHO warns as cases near 100,000...  #Coronavirus  #Coron…"
1236109469932810240,2020-03-07 02:00:38,en,RT @CP24: JUST IN: Ontario health officials confirm a new case of COVID-19 in Toronto -- a man in his 20s who returned from Italy on Tuesda…
1236109469613948928,2020-03-07 02:00:38,en,"RT @unicornthorn: [CW COVID-19]

So what you're telling me is that remote learning for disabled students was possible all along then—it was…"
1236109469299412992,2020-03-07 02:00:37,en,Kinda sad bc I may not be going to Florida for spring break because of COVID-19 (coronavirus) and I'm pissed 😑🥺🤬🖕🏼 https://t.co/JmkUn8bg7c
1236109469010059265,2020-03-07 02:00:37,en,"#Coronavirus
""All reports are that the US Centers for Disease Control (CDC) is not testing for the new coronavirus… https://t.co/CffJiTTF9x"
1236109468745728000,2020-03-07 02:00:37,en,"RT @mattblaze: COVID-19 is causing academic/technical conferences to be canceled. If this goes on for a while, we will develop increasingly…"
1236109467860848645,2020-03-07 02:00:37,en,"RT @OnlyAtarii: did y’all know that there are 96,950 cases of COVID-19 right now?

Did y’all know 3,308 people have died from it?

BUT did…"
1236109466094858240,2020-03-07 02:00:37,en,"RT @IraMariano: Korea: giving free test kit for covid-19 

PH: we on tiktok!!! 🥰"
1236109464589066240,2020-03-07 02:00:36,en,"RT @neiltyson: Like an invasion of hostile space aliens, COVID-19 Is an enemy of the human species that won’t negotiate. It cares not of yo…"
1236109460814229504,2020-03-07 02:00:35,en,"RT @MaddyKOMO: Darlene Kimball, 72, passed away this morning after she tested positive for COVID-19 just two days ago. @PatrickQuinnTV spok…"
1236109459459579904,2020-03-07 02:00:35,en,"RT @OnlyAtarii: did y’all know that there are 96,950 cases of COVID-19 right now?

Did y’all know 3,308 people have died from it?

BUT did…"
1236109458641752066,2020-03-07 02:00:35,en,@deansguide @grandmamavis @ibasecretariat @SafeEnvironment @EIA_USA @MesoYorkshire @KenZeroHarm @Mesouk… https://t.co/jwSp6eMEAd
1236109458335363072,2020-03-07 02:00:35,en,https://t.co/gH5dyKbz26 (LV.8) Covid-19 - The right medicine for the world economy | Leaders | The Economist https://t.co/gDCENgPP5h
1236109456024276992,2020-03-07 02:00:34,en,"RT @shobey_edits: because of covid-19, the court moved the 2nd trial of ajy pd and kin cp that was supposed to happen yesterday (march 6) i…"
1236109453696462849,2020-03-07 02:00:34,en,RT @radiology_rsna: Visit the @radiology_rsna COVID-19 Special Focus page for newly published images of COVID-19 using FDG PET/CT and image…
1236109453612597248,2020-03-07 02:00:34,en,"RT @DBlack_Mountain: This Is About COVID-19 Not You Trump.

Know Your Place. https://t.co/lNiVfoPV8P"
1236109452232835078,2020-03-07 02:00:33,en,RT @thedailybeast: Vice President Mike Pence told reporters that 21 people tested positive for the coronavirus on the Grand Princess cruise…
1236109451909672960,2020-03-07 02:00:33,en,"RT @MyHEALTHKKM: Confirmed COVID-19 Cases in Malaysia (6th March 2020, 6 pm).

#coronavirus
#COVID19
#sihatmilikku
#walkthetalk https://t.c…"
1236109450852708352,2020-03-07 02:00:33,en,RT @IndoPac_Info: Excess production of mucus spilt out of the alveoli — tiny air sacs in the lungs that absorb oxygen — indicating COVID-19…
1236109450815188997,2020-03-07 02:00:33,en,RT @AFN_Updates: Please see the AFN Fact Sheet on the COVID-19 coronavirus and ways to get more information in your region. Please share! #…
1236109450156490754,2020-03-07 02:00:33,en,"RT @OnlyAtarii: did y’all know that there are 96,950 cases of COVID-19 right now?

Did y’all know 3,308 people have died from it?

BUT did…"
1236109449443577860,2020-03-07 02:00:33,en,RT @A6Asap: COVID-19 health advice⚠️ https://t.co/XsSAo52Smu
1236109448776757249,2020-03-07 02:00:33,en,"RT @maxfawcett: The fact that so many people seem to be expressing their anxiety about COVID-19 through the purchase of toilet paper, despi…"
1236109448495550466,2020-03-07 02:00:32,en,"RT @SJimons: Panic buying is a symptom of a dysfunctional society diseased with individualism

To those with litres of soap at home- do you…"
1236109448281591811,2020-03-07 02:00:32,en,"RT @useReactNYC: While there is no immediate COVID-19 concern in New York City, @useReactNYC is being proactive and will be postponing all…"
1236109448055316481,2020-03-07 02:00:32,en,"RT @IUP_StephenW: If you sing ""Covid-19"" to yourself to the tune of ""Come On, Eileen"", it sounds far less threatening. #FunFactFriday https…"
1236109447237447681,2020-03-07 02:00:32,en,"RT @ewong: Note to US &amp; Trump administration: South Korea has a big outbreak of covid-19, but has kept fatalities relatively low through ma…"
1236109445115109378,2020-03-07 02:00:32,en,RT @EmericanJohnson: Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in on…
1236109443605114886,2020-03-07 02:00:31,en,Novel coronavirus(COVID-19)outbreak-Fighting new coronaviruses(Wuhan pne... https://t.co/Sx9xlIdd1f 来自 @YouTube
1236109443114233857,2020-03-07 02:00:31,en,"RT @tanjooilong: Covid-19 threat to drug supply #Malaysia

@_rodahidup @1EinXnitta @ahkmlog @cheong_desmond @devilishram @drsunflower @extt…"
1236109442845982720,2020-03-07 02:00:31,en,The only advantage of the #flu over #Coronavirus is that scientists understand #influenza more than they do #Covid-… https://t.co/tzaVuD8OT8
1236109442287980544,2020-03-07 02:00:31,en,RT @hsmcnp: He was too paranoid to let anyone shake his hands as he is in the Elderly grp range that is more at risk to getting the COVID -…
1236109442162151426,2020-03-07 02:00:31,en,RT @STcom: London police arrest 2 teenagers linked to Covid-19 racist assault on Singaporean student https://t.co/iVH7dDkzUI
1236109441994457090,2020-03-07 02:00:31,en,RT @CP24: JUST IN: Ontario health officials confirm a new case of COVID-19 in Toronto -- a man in his 20s who returned from Italy on Tuesda…
1236109441822416896,2020-03-07 02:00:31,en,"RT @grantrobertson1: In the midst of the COVID 19 a shout out to our dedicated health professionals dealing with this at the frontline, on…"
1236109440928993280,2020-03-07 02:00:31,en,RT @A6Asap: COVID-19 health advice⚠️ https://t.co/XsSAo52Smu
1236109440916561920,2020-03-07 02:00:31,en,The Next Pandemic; China's COVID-19 #Coronavirus #auspol https://t.co/68AUtVdnCp
1236109440857845763,2020-03-07 02:00:31,en,"RT @NBCNews: WATCH: ""The best estimates now of the overall mortality rate for COVID-19 is somewhere between 0.1% and 1%,"" Adm. Brett Giroir…"
1236109440622919680,2020-03-07 02:00:31,en,"RT @QTRResearch: MUST READ: Don’t Test, Don’t Tell: The Bureaucratic Bungling of COVID-19 Tests  || Brilliant work by @EpsilonTheory: https…"
1236109439851249666,2020-03-07 02:00:30,en,"RT @kusanagibonjet: Last month, Philippines had few cases of COVID-19
Yesterday, San Juan had Positive case.
Today, Taguig had Positive cas…"
1236109439758823425,2020-03-07 02:00:30,en,RT @EmericanJohnson: Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in on…
1236109439498727424,2020-03-07 02:00:30,en,Just waiting for the first bunch of Lil’ Donnie’s idiot worshippers to announce they’re organizing COVID-19 “pox parties”. 🤨
1236109439461142529,2020-03-07 02:00:30,en,RT @EmericanJohnson: Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in on…
1236109438357884928,2020-03-07 02:00:30,en,RT @LondonBreed: Today we're announcing new recommendations to reduce the spread of COVID-19 in SF. These systemic and individual changes w…
1236109437682642944,2020-03-07 02:00:30,en,"RT @PhilstarNews: JUST IN: Taguig-based multinational consulting firm Deloitte Philippines confirms one COVID-19 case among employees. 

LI…"
1236109437024096258,2020-03-07 02:00:30,en,@JMLineberger But things that we do to prevent the flu will prevent or delay the spread of COVID-19 (frequent handw… https://t.co/7kSjKDOW7D
1236109435032006656,2020-03-07 02:00:29,en,"🚨🚨🚑🚑🏥🏥⤵⤵🏥⏬⏬Proof Azar lied in his interview
""We have the best hcare system and are prepared""NO WE ARENT.… https://t.co/izqJ1v1c8f"
1236109434788745219,2020-03-07 02:00:29,en,"Coronavirus covid-19 update Illinois: IL,has 6th person with covid-19 announced by Public Health, awaiting confirma… https://t.co/cM1kxG8Bmy"
1236109434482458624,2020-03-07 02:00:29,en,"RT @thebugsboss: Sending strength, best wishes and extra hugs to all the frontliners taking care of COVID-19 patients. 🥼🩺🤗 

Extra, extra h…"
1236109433932894208,2020-03-07 02:00:29,en,COVID-19 in Houston: Live updates https://t.co/TTtM15XeTM
1236109431235940353,2020-03-07 02:00:28,en,RT @LaurenDayNews: BREAKING NEWS: Gov. Ige confirms Hawaii has its first case of COVID-19. The person infected is a Hawaii resident who was…
1236109428623097858,2020-03-07 02:00:28,en,RT @LondonBreed: Today we're announcing new recommendations to reduce the spread of COVID-19 in SF. These systemic and individual changes w…
1236109428501270528,2020-03-07 02:00:28,en,"RT @MedicVet68: OTHER NATIONS HAVE PLENTY OF TEST KITS FOR COVID-19. Sadly our nation had a PLAN to say they had a Plan and nothing else, t…"
1236109427490672642,2020-03-07 02:00:27,en,RT @OHschoolboards: OSBA is working with the @OHEducation and @OHdeptofhealth  to ensure school districts have the most up-to-date informat…
1236109427008249856,2020-03-07 02:00:27,en,"https://t.co/5MU3fpblTs
U.S. President Donald Trump's visit to the Centers for Disease Control and Prevention on Fr… https://t.co/uAMHF6195w"
1236109426068787200,2020-03-07 02:00:27,en,RT @A6Asap: COVID-19 health advice⚠️ https://t.co/XsSAo52Smu
1236109425934503936,2020-03-07 02:00:27,en,RT @brandondarby: “It’s all fun and games until someone gets COVID-19.” — Me when people tease me for using Lysol spray on surfaces
